"x","y","z","ID","nodeid","treeid","radius","radius_obs","length","volume","n","tumor_half","cen_dist","parent","generation","gen_diff","hs_nodeid","hs_parent","hs_length","beta.ave","gamma.ave","beta.diff","gamma.diff","asymmetry"
56.9258690880627,46.4381998590998,107.751028806584,1385,352.002,2,1.10633,1.53126,3.28125,12.6171,2,0,30.3414750154613,302.002,2,2,91.002,7.002,19.89862,0.773575696220838,1.08005828571429,-0.120593313025951,0.0837318095238095,FALSE
56.1039517808219,46.4381998590998,107.751028806584,1385,352.002,2,1.10633,1.53126,3.28125,12.6171,2,0,30.914873974184,302.002,2,2,91.002,7.002,19.89862,0.773575696220838,1.08005828571429,-0.120593313025951,0.0837318095238095,FALSE
55.2820344735812,46.4381998590998,107.751028806584,1385,352.002,2,1.10633,1.53126,3.28125,12.6171,2,0,31.4992834154267,302.002,2,2,91.002,7.002,19.89862,0.773575696220838,1.08005828571429,-0.120593313025951,0.0837318095238095,FALSE
54.4601171663405,46.4381998590998,107.751028806584,1385,352.002,2,1.10633,1.53126,3.28125,12.6171,2,0,32.0941018670246,302.002,2,2,91.002,7.002,19.89862,0.773575696220838,1.08005828571429,-0.120593313025951,0.0837318095238095,FALSE
59.3916210097847,46.4381998590998,107.751028806584,1386,353.002,2,0.881605,0.793233,8.95661,21.8696,NA,0,28.6938791845183,302.002,1,1,303.002,91.002,8.95661,NA,NA,NA,NA,NA
60.2135383170254,47.2601171663405,106.495884773663,1386,353.002,2,0.881605,0.793233,8.95661,21.8696,NA,0,28.8525809584876,302.002,1,1,303.002,91.002,8.95661,NA,NA,NA,NA,NA
60.2135383170254,47.2601171663405,105.240740740741,1386,353.002,2,0.881605,0.793233,8.95661,21.8696,NA,0,28.9436100798211,302.002,1,1,303.002,91.002,8.95661,NA,NA,NA,NA,NA
60.2135383170254,46.4381998590998,103.985596707819,1386,353.002,2,0.881605,0.793233,8.95661,21.8696,NA,0,28.4499941980553,302.002,1,1,303.002,91.002,8.95661,NA,NA,NA,NA,NA
60.2135383170254,46.4381998590998,103.985596707819,1386,353.002,2,0.881605,0.793233,8.95661,21.8696,NA,0,28.4499941980553,302.002,1,1,303.002,91.002,8.95661,NA,NA,NA,NA,NA
60.2135383170254,45.6162825518591,103.985596707819,1386,353.002,2,0.881605,0.793233,8.95661,21.8696,NA,0,27.8210524932563,302.002,1,1,303.002,91.002,8.95661,NA,NA,NA,NA,NA
60.2135383170254,44.7943652446184,103.985596707819,1386,353.002,2,0.881605,0.793233,8.95661,21.8696,NA,0,27.2024052229862,302.002,1,1,303.002,91.002,8.95661,NA,NA,NA,NA,NA
59.3916210097847,43.9724479373777,103.985596707819,1386,353.002,2,0.881605,0.793233,8.95661,21.8696,NA,0,27.1477766375947,302.002,1,1,303.002,91.002,8.95661,NA,NA,NA,NA,NA
58.569703702544,43.150530630137,102.730452674897,1386,353.002,2,0.881605,0.793233,8.95661,21.8696,NA,0,27.3550283807904,302.002,1,1,303.002,91.002,8.95661,NA,NA,NA,NA,NA
96.3778998356165,34.1094402504892,144.150205761317,1377,344.002,2,0.861426,0.669462,10.1028,23.5519,2,0,41.7601387262566,296.002,2,1,87.002,24.002,45.5921,0.910928506917599,1.27369640099774,0.0346605512255261,0.064378192184345,TRUE
97.1998171428572,33.2875229432485,145.405349794239,1377,344.002,2,0.861426,0.669462,10.1028,23.5519,2,0,43.0380835138945,296.002,2,1,87.002,24.002,45.5921,0.910928506917599,1.27369640099774,0.0346605512255261,0.064378192184345,TRUE
98.0217344500979,32.4656056360078,146.66049382716,1377,344.002,2,0.861426,0.669462,10.1028,23.5519,2,0,44.3452031677404,296.002,2,1,87.002,24.002,45.5921,0.910928506917599,1.27369640099774,0.0346605512255261,0.064378192184345,TRUE
98.8436517573385,32.4656056360078,146.66049382716,1377,344.002,2,0.861426,0.669462,10.1028,23.5519,2,0,44.7244745008415,296.002,2,1,87.002,24.002,45.5921,0.910928506917599,1.27369640099774,0.0346605512255261,0.064378192184345,TRUE
99.6655690645792,31.6436883287671,147.915637860082,1377,344.002,2,0.861426,0.669462,10.1028,23.5519,2,0,46.0619484201669,296.002,2,1,87.002,24.002,45.5921,0.910928506917599,1.27369640099774,0.0346605512255261,0.064378192184345,TRUE
100.48748637182,31.6436883287671,147.915637860082,1377,344.002,2,0.861426,0.669462,10.1028,23.5519,2,0,46.4562897774902,296.002,2,1,87.002,24.002,45.5921,0.910928506917599,1.27369640099774,0.0346605512255261,0.064378192184345,TRUE
101.309403679061,31.6436883287671,147.915637860082,1377,344.002,2,0.861426,0.669462,10.1028,23.5519,2,0,46.8617298404365,296.002,2,1,87.002,24.002,45.5921,0.910928506917599,1.27369640099774,0.0346605512255261,0.064378192184345,TRUE
102.131320986301,30.8217710215264,149.170781893004,1377,344.002,2,0.861426,0.669462,10.1028,23.5519,2,0,48.2286362453887,296.002,2,1,87.002,24.002,45.5921,0.910928506917599,1.27369640099774,0.0346605512255261,0.064378192184345,TRUE
102.953238293542,30.8217710215264,149.170781893004,1377,344.002,2,0.861426,0.669462,10.1028,23.5519,2,0,48.6470801803942,296.002,2,1,87.002,24.002,45.5921,0.910928506917599,1.27369640099774,0.0346605512255261,0.064378192184345,TRUE
97.1998171428572,34.9313575577299,144.150205761317,1378,345.002,2,0.821458,0.682647,14.8792,31.5427,NA,0,42.325694701247,296.002,1,1,304.002,87.002,14.8792,NA,NA,NA,NA,NA
98.0217344500979,35.7532748649706,142.895061728395,1378,345.002,2,0.821458,0.682647,14.8792,31.5427,NA,0,41.8623913981725,296.002,1,1,304.002,87.002,14.8792,NA,NA,NA,NA,NA
98.8436517573385,35.7532748649706,142.895061728395,1378,345.002,2,0.821458,0.682647,14.8792,31.5427,NA,0,42.2639490459899,296.002,1,1,304.002,87.002,14.8792,NA,NA,NA,NA,NA
